uid,ltv,amount,rank,max_rarity_chara_num,max_skill_num,multi_battle_num
12745343,0,0,49,0,12,105
21126878,0,0,2,0,0,0
16351035,0,0,33,0,1,5
9083641,0,0,28,0,0,0
23406395,0,0,9,0,0,8
10689686,0,0,17,0,0,0
25801401,0,0,9,0,0,8
10937757,0,0,12,0,0,0
25324146,0,0,1,0,0,1
10777669,0,0,13,0,0,0
25236169,0,0,5,0,0,3
20774686,0,0,6,0,0,0
23412293,0,0,15,0,0,0
23555607,0,0,37,0,3,393
25329167,0,0,5,0,0,1
21981218,0,0,17,0,0,0
13843548,12085,0,22,0,0,0
24590263,0,0,20,0,0,99
15592621,0,0,6,0,0,0
13924800,0,0,62,0,36,589
13189834,0,0,31,0,1,0
17013006,13760,0,23,0,1,4
11751074,7880,0,19,0,0,18
19735937,0,0,14,0,0,0
11134602,0,0,26,0,0,0
14985441,0,0,16,0,0,0
8471868,0,0,28,0,0,0
11726673,0,0,29,0,0,0
12834770,0,0,16,0,0,0
17865970,120,0,16,0,0,0
22811183,0,0,13,0,0,0
25304724,0,0,1,0,0,1
21814105,0,0,12,0,0,0
9354559,0,0,43,0,0,0
11418234,120,0,41,0,2,65
22755096,0,0,26,0,2,180
26257945,0,0,0,0,0,0
13497074,0,0,96,3,92,1286
10928856,0,0,57,0,9,0
13363964,0,0,22,0,0,0
19259259,0,0,3,0,0,0
13644899,9600,0,41,0,2,108
16740860,0,0,4,0,0,0
10773230,0,0,26,0,0,6
18686908,2120,0,18,0,0,15
13749782,0,0,3,0,0,0
11637622,40720,2000,44,0,7,123
8840266,0,0,10,0,0,0
26434661,0,0,5,0,0,6
25874935,0,0,1,0,0,0
26234290,0,0,1,0,0,1
26315107,0,0,1,0,0,1
26179766,0,0,0,0,0,0
8775143,0,0,37,0,4,18
26319723,0,0,0,0,0,0
20785783,0,0,30,0,1,90
21755717,0,0,9,0,0,0
21642045,0,0,16,0,0,3
13313206,0,0,40,0,0,0
10828785,2960,0,28,0,0,18
25722280,0,0,1,0,0,1
15436817,0,0,49,0,1,42
26277360,0,0,0,0,0,0
18920948,0,0,44,0,0,117
18718489,120,0,35,0,1,13
22908972,0,0,2,0,0,0
22276609,0,0,13,0,0,0
20297667,0,0,19,0,0,1
12692436,0,0,18,0,0,11
20051787,0,0,13,0,0,0
26086946,0,0,1,0,0,1
26247797,0,0,5,0,0,1
26240018,0,0,1,0,0,1
18474231,0,0,7,0,0,3
26193056,0,0,1,0,0,0
24999871,0,0,7,0,0,0
25939676,0,0,0,0,0,0
25414530,0,0,8,0,0,3
22608716,0,0,43,0,15,386
26468328,0,0,2,0,0,1
20837896,0,0,29,0,2,97
26293944,0,0,1,0,0,1
9747282,0,0,42,0,11,526
10634750,44560,0,50,0,0,0
25259828,0,0,15,0,0,71
23260482,0,0,10,0,0,0
19040972,0,0,77,0,57,1432
25586584,0,0,1,0,0,1
25240552,0,0,12,0,0,36
26064778,0,0,10,0,0,5
23664933,0,0,4,0,0,0
25323932,0,0,8,0,0,8
24709933,0,0,10,0,0,24
26321747,0,0,26,0,7,293
25042945,0,0,19,0,0,53
25411550,0,0,11,0,0,37
25675675,0,0,1,0,0,4
25198803,0,0,13,0,0,20
26230385,0,0,1,0,0,1
23779229,0,0,6,0,0,0
12950464,0,0,3,0,0,0
20600880,2121,0,31,0,0,10
19466222,120,0,52,0,8,478
21348871,0,0,3,0,0,0
25371767,0,0,1,0,0,1
22866818,0,0,10,0,0,0
8882971,0,0,7,0,0,0
26192630,0,0,26,0,1,123
25513055,0,0,0,0,0,0
20945370,0,0,3,0,0,0
25615816,0,0,2,0,0,1
9180140,26480,20560,36,0,1,106
22812304,0,0,13,0,0,0
9794553,14600,0,22,0,0,0
10633858,0,0,32,0,0,13
22703062,0,0,7,0,0,0
25494703,0,0,1,0,0,1
21769411,0,0,10,0,0,0
12306889,0,0,14,0,0,1
19490039,0,0,49,0,17,578
22588164,5400,0,16,0,0,0
8795541,0,0,46,0,2,90
19302886,15280,0,52,0,2,209
22788978,0,0,1,0,0,0
26291549,0,0,1,0,0,1
8982302,0,0,18,0,0,0
12498030,0,0,1,0,0,0
13301406,0,0,73,0,46,835
9422112,88120,7600,37,0,1,21
24440733,0,0,24,0,0,26
18710413,0,0,18,0,0,0
14456078,0,0,20,0,0,27
8920182,2000,0,42,0,0,0
15296341,0,0,21,0,0,0
26380633,0,0,1,0,0,1
8522815,0,0,22,0,0,0
9373633,23760,2840,23,0,0,101
14790361,0,0,55,0,5,134
14722941,0,0,24,0,0,0
21948202,91920,73000,52,0,38,1144
26015977,0,0,3,0,0,1
25412466,0,0,1,0,0,1
16039803,0,0,3,0,0,0
9305582,0,0,20,0,0,2
11987996,0,0,23,0,0,0
25408999,0,0,0,0,0,0
25514864,0,0,1,0,0,1
23661242,0,0,8,0,0,0
25869101,0,0,6,0,0,5
18890057,0,0,19,0,0,28
13534010,3080,0,57,0,22,459
10761543,0,0,15,0,0,2
24493401,0,0,5,0,0,3
25443681,0,0,1,0,0,0
23708657,13760,23520,30,0,4,219
14698055,0,0,16,0,0,0
25599939,0,0,1,0,0,1
22276248,0,0,29,0,0,99
9025822,0,0,13,0,0,0
24267838,0,0,18,0,0,45
16549786,0,0,15,0,0,0
14571260,9920,0,51,0,0,0
26081534,0,0,1,0,0,0
26118248,0,0,1,0,0,1
8568822,120,0,28,0,0,0
15715940,0,0,13,0,0,0
26141147,0,0,33,0,12,228
14725491,8880,11600,27,0,0,24
25688147,0,0,1,0,0,1
25266825,0,0,6,0,0,3
15536645,0,0,46,0,5,19
14110936,0,0,6,0,0,0
26195800,0,0,1,0,0,1
10807641,23040,0,30,0,1,2
17721919,0,0,41,0,11,207
9329234,0,0,19,0,0,0
25780273,0,0,1,0,0,0
22891556,0,0,11,0,0,0
25685479,0,0,1,0,0,1
16877353,0,0,12,0,0,0
13983922,0,0,16,0,0,0
26438553,0,0,1,0,0,1
25684920,0,0,0,0,0,0
25892303,0,0,1,0,0,1
25175135,0,0,1,0,0,1
25186043,0,0,1,0,0,0
25415294,0,0,12,0,0,14
25582525,0,0,0,0,0,0
26251659,0,0,4,0,0,1
14654598,122960,22680,67,1,32,780
25113593,0,0,0,0,0,0
21832792,0,0,13,0,0,4
16892673,1680,0,25,0,0,0
9907086,9400,0,26,0,0,0
24976269,0,0,4,0,0,0
22001909,0,0,16,0,0,5
23079381,0,0,18,0,0,8
26096198,0,0,1,0,0,1
22247611,0,0,5,0,0,0
26349467,0,0,1,0,0,1
26083772,0,0,1,0,0,1
21769000,6960,4840,56,0,42,1430
20935349,0,0,30,0,1,27
20770489,0,0,25,0,1,5
25266831,0,0,8,0,0,17
26196044,0,0,0,0,0,0
11250134,9600,0,16,0,0,8
23676007,0,0,33,0,6,134
25839361,0,0,13,0,0,26
26430734,0,0,1,0,0,0
26140732,0,0,2,0,0,1
10745518,0,0,1,0,0,0
12087980,0,0,1,0,0,0
25598081,0,0,0,0,0,0
25738046,0,0,0,0,0,0
26137457,0,0,1,0,0,1
25826007,0,0,1,0,0,0
25702716,0,0,4,0,0,1
23709363,0,0,12,0,0,7
23785074,7600,7600,29,0,6,230
15629665,0,0,2,0,0,0
26414334,0,0,1,0,0,1
20316715,0,0,0,0,0,0
26270199,0,0,1,0,0,1
10588184,0,0,25,0,0,0
13760839,0,0,6,0,0,0
24736522,0,0,9,0,0,0
